dataset,frac,seed,ref_ap,ref_time,ens_final_test,ens_final_val,single_final_test,single_best_name,ens_total_time,t_beat_ref,beat_ref,beat_in_less_time
Amazon_employee_access,0.1,1,0.12261875218047093,6.494647887979227,0.11420269717992379,0.16122610884568006,0.11092558591752603,logreg,2.834420579005382,,False,False
Amazon_employee_access,0.3,1,0.19106829931847907,45.27137319502435,0.17704458921062016,0.1213197369853159,0.17704988581548992,catboost,7.1905854850047035,,False,False
Amazon_employee_access,0.4,1,0.16918613873506194,49.62145139099994,0.18638073092731616,0.21669332639037311,0.14767334097708876,rf,14.74532520401408,1.7403068710118532,True,True
Amazon_employee_access,0.5,1,0.191333678050459,70.6933085589917,0.2042606542025818,0.23785450965693727,0.20276682840108673,catboost,11.970053969023866,2.1916494040196994,True,True
Amazon_employee_access,0.7,1,0.2374279620671962,116.18858532001832,0.22444977540149783,0.2758082978981822,0.2235874826855748,lgbm,15.623955105998903,,False,False
Amazon_employee_access,0.8,1,0.23640897163939817,122.610698632001,0.2205673176389022,0.24332148841165857,0.22344799736854226,lgbm,17.694917289016303,,False,False
Amazon_employee_access,0.9,1,0.24216740639725787,152.8742779939821,0.24121165582562518,0.22584536190410948,0.22314383407845564,xgb,23.0528376979928,,False,False
letter,0.2,0,0.9829266231885071,19.201044572000683,0.9806671012440039,0.9899116734816531,0.9820169712849931,extratrees,9.369669489999978,,False,False
letter,0.6,0,0.9970896057921386,68.38102888700269,0.9980806008566742,0.9982999353587589,0.9977633819817101,extratrees,26.027231498999754,7.282455269999446,True,True
letter,1.0,0,0.9991698478936126,107.20650109199414,0.9995004447527449,0.9994807246400753,0.9990892138694493,extratrees,47.06319124200036,12.502606278000712,True,True
letter,0.2,1,0.970024341727675,24.743301298996812,0.9797146048184006,1.0000000000000002,0.9797146048184006,lgbm,15.363972296000611,0.8463462110003093,True,True
letter,0.6,1,0.9969095114814165,68.58767586899376,0.9954072750406288,0.9983311574392266,0.9954136824316273,extratrees,26.529977132001477,,False,False
letter,1.0,1,0.9964393866386245,113.5544195229977,0.996214840685193,0.9988515447110089,0.996214840685193,extratrees,39.29129606100014,2.327937134999047,False,True
letter,0.1,0,0.9395916005174272,11.608196202010731,0.9187174512415784,0.9072296750868178,0.933496561147224,extratrees,1.7311448559776181,,False,False
letter,0.3,0,0.9924543100330127,36.892217000007804,0.9873974577990289,0.9978097010606346,0.9812177181010726,hgb,2.8101888469973346,,False,False
letter,0.4,0,0.9930520913396091,48.555639747000896,0.9963553787952554,0.9852245630125518,0.9904986174741437,lgbm,5.8325103069946636,2.2264673199970275,True,True
letter,0.5,0,0.9958760060357459,52.67056010200031,0.9912598085841158,0.9987041326061361,0.9912598085841158,lgbm,5.8761924450227525,,False,False
letter,0.7,0,0.9967320869480256,75.9778036879834,0.9970454415006441,0.9995979597959794,0.9967030045930798,extratrees,20.588755127973855,4.271533169972827,True,True
letter,0.8,0,0.9977206121358903,88.63275469899054,0.9961468290570874,0.9915159695788117,0.9961468290570874,extratrees,8.951784970995504,,False,False
letter,0.9,0,0.9981730360192496,103.46986910998748,0.9979550796575986,0.9961024888398848,0.9979729071257565,extratrees,15.835559023966198,,False,False
letter,0.1,1,0.9403361390166974,7.8301732710060605,0.9371116420713635,0.9339768339768337,0.9371116420713635,hgb,2.349270257007447,,False,False
letter,0.3,1,0.9890231683319936,25.89713104598195,0.9855888054681842,0.9856301644092342,0.9855888054681842,catboost,10.885554071996012,,False,False
letter,0.4,1,0.9930324954421287,49.39733683498889,0.9895593607011091,0.9872980607738879,0.9895593607011091,extratrees,17.176467807017616,,False,False
letter,0.5,1,0.9935831696068477,38.924194755003555,0.9921005576382828,0.9984079609721273,0.9941850225856447,lgbm,4.246082560028299,0.5369201090215938,False,True
letter,0.7,1,0.9975786321656145,55.763558657981775,0.997071783121001,0.9959141875166722,0.996147826118201,extratrees,12.45696523602237,,False,False
letter,0.8,1,0.9970516602761806,82.72988547099521,0.9978025450264267,0.9972417069595585,0.994877184585787,xgb,48.611193742995965,48.611193742995965,True,True
letter,0.9,1,0.9972430775568917,73.97505906000879,0.9976789477805419,0.9977814126862707,0.9963462055385234,extratrees,16.490059136995114,7.381454038986703,True,True
mammography,0.2,0,0.654073550096972,5.556295773001693,0.6611964575794566,0.9513888888888888,0.5856869751819621,logreg,7.389662523999505,2.7456679809993148,True,True
mammography,0.6,0,0.7418963330019671,17.798669791001885,0.7194415247810866,0.5866158664270316,0.6801142064806188,hgb,15.705175312000392,,False,False
mammography,1.0,0,0.7471500662039525,21.303628664001735,0.7543524175024938,0.6769988113435162,0.7434182353810016,extratrees,21.680622485998356,9.633629378998194,True,True
mammography,0.2,1,0.47988464893709687,4.89719660299852,0.6592811733484816,0.6776515151515152,0.6272144720951339,catboost,7.755895190999581,0.0088305749995925,True,True
mammography,0.6,1,0.6869788585243894,12.311942078991706,0.6335941142043231,0.7314638648944123,0.5961883994653074,hgb,12.855404218999865,,False,False
mammography,1.0,1,0.7007077342599105,22.626779335005267,0.7410648212211857,0.7649584210592216,0.7376087708456383,extratrees,20.439323802000217,1.064853540000513,True,True
mammography,0.1,0,0.4516317054054209,2.05823287601379,0.546159489750384,0.8253968253968254,0.5713091385613479,logreg,1.6500035289936932,0.007125525997253135,True,True
mammography,0.3,0,0.6588263928824609,6.369642138008203,0.640389657817724,0.7677583527583527,0.5961582383796831,hgb,3.3820690120046493,,False,False
mammography,0.4,0,0.6334398505809812,7.851246216998334,0.6927371493483401,0.7617761217142796,0.6781958243879537,extratrees,3.5223803379922174,0.37592634798784275,True,True
mammography,0.5,0,0.7237292364951761,11.2744521870045,0.723165725712158,0.823805386623662,0.6935920088422408,hgb,4.100858833975508,,False,False
mammography,0.7,0,0.7319273783899107,17.297548052047205,0.7356005366459111,0.5931807966792666,0.7419104842733,extratrees,10.46803217100387,7.074877916005789,True,True
mammography,0.8,0,0.7515930413818717,17.74819800099249,0.7459589355841616,0.7881413917103162,0.7253270056601833,catboost,8.656805657024961,1.4734196590143256,False,True
mammography,0.9,0,0.7619820011622747,17.82245158202568,0.7452262767792398,0.7449118357586075,0.7398479178553036,extratrees,20.80811179697048,,False,False
mammography,0.1,1,0.529071090984172,2.4656040370391565,0.5577140646924168,0.8666666666666667,0.5577140646924168,xgb,1.727447116994881,0.009178446998703294,True,True
mammography,0.3,1,0.5470487239017862,5.635861735943763,0.5354565025524761,0.7352124083414597,0.5354565025524761,xgb,2.80164576403331,0.005477747006807476,False,True
mammography,0.4,1,0.6686639398070469,11.689451922000444,0.6845268458930606,0.7913478938152141,0.6845268458930606,catboost,3.0738654710148694,1.4923325090203434,True,True
mammography,0.5,1,0.6943237398414238,7.5774141859437805,0.705140208408065,0.8444583727974921,0.6568281374309921,hgb,4.745472875991254,3.6554959199856967,True,True
