dataset,frac,seed,e1_ap,ens_e1,e2_ap,ens_e2,e1_t,ens_e1_t,e2_t,e2ens_t,ens_e1_at,ens_e1_at_t,e1_at,e1_at_t,e2_at,e2_at_t
Pulsar-Dataset-HTRU2,1.0,1,0.9192074034982246,0.9200289069830936,0.9212258552305544,0.9202650427442532,32.56208166099896,53.71104079199904,35.33599957200022,408.2540369050112,0.9209799633069211,437.43018260376994,0.9192074034982246,324.70733676393866,0.919802881527843,408.4872329259815
Pulsar-Dataset-HTRU2,0.1,0,0.8992947211285004,0.9028734510425956,0.902596629004492,0.9136369249313132,5.224095206998754,15.627218978988822,4.186311503988691,136.82979299699946,0.9090987422969321,137.25411247389275,0.8910309679141882,137.04902758062235,0.9123069209993634,136.94367522516404
Pulsar-Dataset-HTRU2,0.3,0,0.909429154524092,0.9209934479725996,0.910004153435476,0.918684091944019,9.274224820994275,4.286139665011433,10.588610876009623,223.830628753989,0.924504132451691,224.14578260009876,0.9167841560282265,224.3521504489472,0.9117543392727627,224.15921610221267
Pulsar-Dataset-HTRU2,0.4,0,0.9144869485577348,0.9185524405345394,0.9076651149554438,0.924365664815658,14.405393852000998,31.79082986501453,14.738784280007168,192.07991138299985,0.9226071361536423,197.40479666291503,0.9228422490601127,192.12793835581397,0.9194442515749836,192.92507376117283
Pulsar-Dataset-HTRU2,0.5,0,0.9077978629376856,0.9253496855636448,0.9234183439009552,0.9229097575738908,12.53898255599779,11.223380247975,17.577849949000665,284.3741138320038,0.922674987661385,286.11104365982465,0.9198618542413755,285.5351153741649,0.9197144432884302,284.65479633567156
Pulsar-Dataset-HTRU2,0.7,0,0.925257129115977,0.9266415279953568,0.9239824405985164,0.9242775854833608,20.195954479993816,9.061480208998546,23.666439493990765,319.80692405400623,0.9245035490161396,323.926413603971,0.9207110367878625,281.49134026185493,0.9241349137773177,320.7498845437367
Pulsar-Dataset-HTRU2,0.8,0,0.923231391864547,0.925047275849109,0.9241158066868302,0.9262148985119052,21.305294179996054,26.1296337290114,27.327658202995732,255.8451860369969,0.9219448847510681,258.3090513930074,0.9248355889092434,256.4176098040771,0.9240488038714973,255.89490669200313
Pulsar-Dataset-HTRU2,0.9,0,0.921804747947026,0.9243671144300034,0.9248336566743126,0.9278150010851776,25.561271885024325,10.950022319011625,29.591285906994017,352.6132556299999,0.9269106043583101,354.5324716111063,0.9264706244223899,323.80482134519843,0.924891403670624,354.9259785038885
Pulsar-Dataset-HTRU2,0.1,1,0.900608981208408,0.9120809803890672,0.893765044987999,0.9115386282495582,5.539331664011115,3.407764971998404,5.563696685003379,171.8293209800031,0.898167628862448,172.7833586599736,0.9073764433185124,72.83473543659784,0.8936998299467489,75.45686512102839
Pulsar-Dataset-HTRU2,0.3,1,0.9073456612373098,0.910232294430182,0.905062151442248,0.9096740006666784,11.887125082012062,7.764034158026334,12.26983544099494,130.8295641989971,0.8926192640934947,131.85033895401284,0.9047877765783391,131.54416240210412,0.903088147392271,131.07404824893456
