dataset,frac,seed,e1_ap,e2_ap,e1_t,e2_t,ens_full,ens_full_t,ens_at_e1,ens_at_e2,e2ens_ap,e2ens_t,beat_e1_isot,beat_e2ens,e2ens_faster,beat_e2_isot
Amazon_employee_access,0.4,0,0.21286401418021117,0.2241773495103055,36.99666699700174,75.05018402899259,0.18891480680048775,17.013951492976048,0.18891480680048775,0.18891480680048775,0.21653477745592986,332.48890740500065,False,False,False,False
Amazon_employee_access,0.5,0,0.249125740326434,0.2470099644918965,72.37039854701652,83.00666498699138,0.21037458638801895,15.708089553008904,0.21037458638801895,0.21037458638801895,0.24656216915481166,350.9073613329965,False,False,False,False
Amazon_employee_access,0.7,0,0.2595690970128895,0.27717169617327553,80.94728094499806,127.99993100799475,0.25254553289345677,33.65987122200022,0.25254553289345677,0.25254553289345677,0.2586658700949974,404.19520179698884,False,False,False,False
Amazon_employee_access,0.8,0,0.27263804105440154,0.2772849184571508,119.53478381400055,165.6976161519924,0.28206424075079684,36.546841437986586,0.28206424075079684,0.28206424075079684,0.24852500193790664,530.3386247300077,True,False,False,True
Amazon_employee_access,0.9,0,0.2885761612970528,0.29262519670054965,124.22664672702376,153.3014380659988,0.2703952883193302,29.011763307004003,0.2703952883193302,0.2703952883193302,0.28060441367985733,647.7457008979982,False,False,False,False
Amazon_employee_access,0.1,1,0.12261875218047093,0.12699945472899973,6.494647887979227,7.558702302980237,0.11420269717992379,2.834420579005382,0.11420269717992379,0.11420269717992379,0.13336857357002077,40.46767667301174,False,True,False,False
Amazon_employee_access,0.3,1,0.19106829931847907,0.19126156795931135,45.27137319502435,47.56516498698693,0.17704458921062016,7.1905854850047035,0.17704458921062016,0.17704458921062016,0.20042474644752953,114.62785174199962,False,True,False,False
Amazon_employee_access,0.4,1,0.16918613873506194,0.20694966969221157,49.62145139099994,68.93014857199887,0.18638073092731616,14.74532520401408,0.18638073092731616,0.18638073092731616,0.20065584826635385,134.93375415500486,True,False,False,False
Amazon_employee_access,0.5,1,0.191333678050459,0.22302642323557975,70.6933085589917,86.46057858900895,0.2042606542025818,11.970053969023866,0.2042606542025818,0.2042606542025818,0.22234885125935697,109.28359974198975,True,False,False,False
Amazon_employee_access,0.7,1,0.2374279620671962,0.23688408149780274,116.18858532001832,147.5083477599983,0.22444977540149783,15.623955105998903,0.22444977540149783,0.22444977540149783,0.24613922322301734,170.60879565500363,False,True,False,False
Amazon_employee_access,0.8,1,0.23640897163939817,0.24687352614569302,122.610698632001,178.7337197230063,0.2205673176389022,17.694917289016303,0.2205673176389022,0.2205673176389022,0.24020844196751467,197.8790771960048,False,False,False,False
Amazon_employee_access,0.9,1,0.24216740639725787,0.25395417861243774,152.8742779939821,132.2900641749875,0.24121165582562518,23.0528376979928,0.24121165582562518,0.24121165582562518,0.2521755150954489,174.6704205749993,False,False,False,False
letter,0.2,0,0.9829266231885071,0.9824692195352076,19.201044572000683,26.400533512998663,0.9806671012440039,9.369669489999978,0.9806671012440039,0.9806671012440039,0.9886850980978286,77.18286870401062,False,True,False,False
letter,0.6,0,0.9970896057921386,0.9972454217859383,68.38102888700269,69.35981314099627,0.9980806008566742,26.027231498999754,0.9980806008566742,0.9980806008566742,0.9987573847444544,230.46856926800683,True,True,False,True
letter,1.0,0,0.9991698478936126,0.9990720639451314,107.20650109199414,118.02421288999903,0.9995004447527449,47.06319124200036,0.9995004447527449,0.9995004447527449,0.9994342115347405,206.12523332500132,True,True,False,True
letter,0.2,1,0.970024341727675,0.967883328096051,24.743301298996812,23.07883575899905,0.9797146048184006,15.363972296000611,0.9797146048184006,0.9797146048184006,0.9791133908369569,75.00592639899696,True,True,False,True
letter,0.6,1,0.9969095114814165,0.996919432116337,68.58767586899376,71.30483199400442,0.9954072750406288,26.529977132001477,0.9954072750406288,0.9954072750406288,0.9967641883784548,148.09376278899435,False,False,False,False
letter,1.0,1,0.9964393866386245,0.9971020827406263,113.5544195229977,119.5242630089906,0.996214840685193,39.29129606100014,0.996214840685193,0.996214840685193,0.9967920852065669,424.0668907049985,False,False,False,False
letter,0.1,0,0.9395916005174272,0.9422778032784004,11.608196202010731,12.57166135499574,0.9187174512415784,1.7311448559776181,0.9187174512415784,0.9187174512415784,0.9539870043773195,106.80176888100686,False,True,False,False
letter,0.3,0,0.9924543100330127,0.9892732053674037,36.892217000007804,36.4955160860045,0.9873974577990289,2.8101888469973346,0.9873974577990289,0.9873974577990289,0.9961254552212082,182.78550241599442,False,True,False,False
letter,0.4,0,0.9930520913396091,0.99278649540278,48.555639747000896,51.70908969400807,0.9963553787952554,5.8325103069946636,0.9963553787952554,0.9963553787952554,0.9980134149470674,129.5526596319978,True,True,False,True
